"myCoAv","Freq","Me"
"Alan Cooper",1,"Timothy L Staples"
"Anne Ola",1,"Timothy L Staples"
"Anthony Chariton",1,"Timothy L Staples"
"Brodie Sutcliffe",1,"Timothy L Staples"
"Catherine E Lovelock",2,"Timothy L Staples"
"Ciara M Horton",1,"Timothy L Staples"
"Claire E Wainwright",2,"Timothy L Staples"
"Dave Kendal",1,"Timothy L Staples"
"Emily J Flies",1,"Timothy L Staples"
"Eric J Raes",1,"Timothy L Staples"
"Fera Dewi",1,"Timothy L Staples"
"George Roff",1,"Timothy L Staples"
"Hans Ammitzboll",1,"Timothy L Staples"
"Hao Ran Lai",1,"Timothy L Staples"
"Jack W Hill",1,"Timothy L Staples"
"Jacqueline R England",2,"Timothy L Staples"
"Jennifer M Young",1,"Timothy L Staples"
"John M Dwyer",4,"Timothy L Staples"
"John M Pandolfi",4,"Timothy L Staples"
"Juan Carlos Ortiz",1,"Timothy L Staples"
"Jules Freeman",1,"Timothy L Staples"
"Lachlan A Bourke",1,"Timothy L Staples"
"Lachlan S Charles",1,"Timothy L Staples"
"Laura S Weyrich",1,"Timothy L Staples"
"Laurence J Clarke",1,"Timothy L Staples"
"Leon A Barmuta",1,"Timothy L Staples"
"Margaret M Mayfield",5,"Timothy L Staples"
"Maria del Carmen Gomez Cabrera",1,"Timothy L Staples"
"Martin F Breed",1,"Timothy L Staples"
"Michael Charleston",1,"Timothy L Staples"
"Nicholas M Fountain-Jones",1,"Timothy L Staples"
"Nicole Robinson",1,"Timothy L Staples"
"Penelope J Jones",1,"Timothy L Staples"
"Rajaraman Eri",1,"Timothy L Staples"
"Ravichandra Vemuri",1,"Timothy L Staples"
"Rebecca McDougal",1,"Timothy L Staples"
"Swan Li San Sow",1,"Timothy L Staples"
"Thomas C Flanagan",1,"Timothy L Staples"
"Victoria A Reynolds",1,"Timothy L Staples"
"Vongai Dakwa",1,"Timothy L Staples"
"Wolfgang Kiessling",3,"Timothy L Staples"
"Xingwen Loy",2,"Timothy L Staples"
